cLogP,cLogS,Smiles
3.3344,-4.043,COc(c1ccccc11)ccc1S(NCCOc1ccccc1)(=O)=O
0.5955,-2.606,CCOc(ccc(S(N)(=O)=O)c1)c1C#N
5.249,-7.72,Cc(ccc(Cl)c1)c1NC(CSc1nnc(-c(ccc(Cl)c2)c2Cl)o1)=O
2.2175,-2.319,Cc1nc(ccc(S(N2CCCCC2)(=O)=O)c2)c2s1
3.5128,-3.775,CC(C)CCNS(c1cc2ccccc2cc1)(=O)=O
3.1664,-4.284,N#CCc(cccc1)c1C(NCCSc1ccccc1)=O
4.7289,-5.617,Clc1c(CSc2nc(cccc3)c3s2)cccc1
3.5813,-4.326,CC(C)(C)NC(c(cccc1)c1NC(/C=C/c(cc1)cc(OC)c1OC)=O)=O
3.8704,-5.019,Cc(c(Cl)c(cc1)S(NCc(cc2)cc3c2OCO3)(=O)=O)c1Cl
2.7743,-4.482,Cc1cc(NC(c(cc(c(F)c2)F)c2Cl)=O)no1
3.1604,-5.25,Cn1c(-c2cccc(NC(c(cc(c(F)c3)F)c3Cl)=O)c2)nnc1
3.7265,-4.203,CCc(cc1)ccc1OCC(Nc(cccc1)c1C(NC(C)(C)C)=O)=O
1.3948,-3.579,O=C(COC(c(cc1)cc(N2)c1OCC2=O)=O)c1ccccc1
3.1567,-4.054,Cc1cccc(C(Nc(cc2)ncc2Br)=O)c1OC
0.2873,-1.889,O=C(c1ncn[nH]1)NCc(cc1)cc2c1OCO2
3.4419,-5.3,Cc(cc1C)cc(C#N)c1NC(c(cc1)cc2c1OCO2)=O
3.9658,-5.1,Cc1nc(ccc(NC(c(cc(c(F)c2)F)c2Cl)=O)c2)c2s1
3.4802,-3.731,O=C(CCc(cc1)ccc1NC(c1cc(Br)cnc1)=O)N1CCCC1
4.3133,-5.482,CCN(CC)C(SCC(c(cc1)ccc1-c1ccccc1)=O)=S
1.6299,-3.256,O=S(Nc(cc1)ncc1Br)(N1CCCCC1)=O
3.0654,-3.965,O=C(c(cc(c(F)c1)F)c1Cl)NCCSc1ncccc1
4.4045,-4.971,CC(C)(C)c(cc1)ccc1OCCNS(c(c(C)c1)c(C)cc1N(CCC1)C1=O)(=O)=O
1.1216,-2.8,CCNS(c1c(C)c(-n2nnnc2)c(C)cc1C)(=O)=O
4.7965,-5.512,CC[C@@]1(C)Oc(cc(cc2)NC(c(cc(c(F)c3)F)c3Cl)=O)c2O1
4.4661,-4.996,CC[C@@]1(C)Oc(cc(cc2)NC(c(cccc3)c3SC)=O)c2O1
